Config: 
--------------------------------------------
leader L0 of team T0 discovered at 30441.000000 that M44 is in danger (after 6026ms proces-to-process, 4347ms node-to-node, 4hops, 1versions (11 first, 12 discovered)
leader L0 of team T0 never discovered that M45 is in danger from 22388.
leader L0 of team T0 discovered at 27456.000000 that M11 is in danger (after 4043ms proces-to-process, 2326ms node-to-node, 5hops, 0versions (12 first, 12 discovered)
leader L0 of team T0 discovered at 22648.000000 that M10 is in danger (after 2930ms proces-to-process, 1388ms node-to-node, 5hops, 0versions (9 first, 9 discovered)
leader L0 of team T0 discovered at 23509.000000 that M13 is in danger (after 5267ms proces-to-process, 2526ms node-to-node, 5hops, 1versions (9 first, 10 discovered)
leader L0 of team T0 discovered at 28136.000000 that M12 is in danger (after 1799ms proces-to-process, 1116ms node-to-node, 3hops, 0versions (12 first, 12 discovered)
leader L0 of team T0 discovered at 25361.000000 that M15 is in danger (after 6291ms proces-to-process, 4541ms node-to-node, 5hops, 1versions (9 first, 10 discovered)
leader L0 of team T0 discovered at 22648.000000 that M14 is in danger (after 2189ms proces-to-process, 1978ms node-to-node, 7hops, 0versions (9 first, 9 discovered)
leader L0 of team T0 discovered at 31697.000000 that M17 is in danger (after 3285ms proces-to-process, 1209ms node-to-node, 4hops, 0versions (13 first, 13 discovered)
leader L0 of team T0 discovered at 25361.000000 that M16 is in danger (after 3929ms proces-to-process, 329ms node-to-node, 4hops, 0versions (11 first, 11 discovered)
leader L0 of team T0 discovered at 31697.000000 that M19 is in danger (after 2536ms proces-to-process, 1212ms node-to-node, 3hops, 0versions (14 first, 14 discovered)
leader L0 of team T0 discovered at 19643.000000 that M18 is in danger (after 3391ms proces-to-process, 2524ms node-to-node, 7hops, 0versions (7 first, 7 discovered)
leader L1 of team T0 discovered at 26315.000000 that M39 is in danger (after 2722ms proces-to-process, 708ms node-to-node, 3hops, 0versions (12 first, 12 discovered)
leader L1 of team T0 discovered at 28370.000000 that M38 is in danger (after 2614ms proces-to-process, 1863ms node-to-node, 5hops, 0versions (11 first, 11 discovered)
leader L1 of team T0 discovered at 24969.000000 that M37 is in danger (after 2037ms proces-to-process, 633ms node-to-node, 2hops, 1versions (11 first, 12 discovered)
leader L1 of team T0 discovered at 20576.000000 that M36 is in danger (after 4931ms proces-to-process, 2339ms node-to-node, 7hops, 1versions (7 first, 8 discovered)
leader L1 of team T0 discovered at 33220.000000 that M35 is in danger (after 5345ms proces-to-process, 1147ms node-to-node, 5hops, 0versions (14 first, 14 discovered)
leader L1 of team T0 discovered at 33220.000000 that M34 is in danger (after 2896ms proces-to-process, 1176ms node-to-node, 5hops, 1versions (14 first, 15 discovered)
leader L1 of team T0 discovered at 35194.000000 that M33 is in danger (after 7538ms proces-to-process, 5578ms node-to-node, 5hops, 3versions (13 first, 16 discovered)
leader L1 of team T0 discovered at 23759.000000 that M32 is in danger (after 2653ms proces-to-process, 1279ms node-to-node, 3hops, 0versions (10 first, 10 discovered)
leader L1 of team T0 discovered at 21637.000000 that M31 is in danger (after 3892ms proces-to-process, 961ms node-to-node, 3hops, 0versions (9 first, 9 discovered)
leader L1 of team T0 discovered at 33220.000000 that M30 is in danger (after 4840ms proces-to-process, 3702ms node-to-node, 4hops, 2versions (13 first, 15 discovered)
leader L1 of team T0 discovered at 19798.000000 that M5 is in danger (after 241ms proces-to-process, 27ms node-to-node, 1hops, 0versions (9 first, 9 discovered)
leader L1 of team T0 discovered at 24969.000000 that M4 is in danger (after 2837ms proces-to-process, 28ms node-to-node, 1hops, 0versions (11 first, 11 discovered)
leader L1 of team T0 discovered at 33220.000000 that M7 is in danger (after 3397ms proces-to-process, 1041ms node-to-node, 4hops, 1versions (14 first, 15 discovered)
leader L1 of team T0 discovered at 24329.000000 that M6 is in danger (after 1858ms proces-to-process, 229ms node-to-node, 1hops, 0versions (11 first, 11 discovered)
leader L1 of team T0 discovered at 27889.000000 that M1 is in danger (after 3045ms proces-to-process, 1651ms node-to-node, 2hops, 1versions (12 first, 13 discovered)
leader L1 of team T0 discovered at 21637.000000 that M0 is in danger (after 999ms proces-to-process, 225ms node-to-node, 2hops, 0versions (9 first, 9 discovered)
leader L1 of team T0 discovered at 23759.000000 that M3 is in danger (after 4996ms proces-to-process, 2811ms node-to-node, 5hops, 1versions (9 first, 10 discovered)
leader L1 of team T0 discovered at 31772.000000 that M2 is in danger (after 4342ms proces-to-process, 1620ms node-to-node, 4hops, 0versions (13 first, 13 discovered)
leader L1 of team T0 discovered at 32150.000000 that M9 is in danger (after 1792ms proces-to-process, 1586ms node-to-node, 1hops, 1versions (13 first, 14 discovered)
leader L1 of team T0 discovered at 18704.000000 that M8 is in danger (after 1324ms proces-to-process, 1290ms node-to-node, 4hops, 0versions (8 first, 8 discovered)
leader L1 of team T0 discovered at 35960.000000 that M42 is in danger (after 6109ms proces-to-process, 4781ms node-to-node, 3hops, 1versions (14 first, 15 discovered)
leader L1 of team T0 discovered at 29037.000000 that M43 is in danger (after 7902ms proces-to-process, 5025ms node-to-node, 6hops, 0versions (11 first, 11 discovered)
leader L1 of team T0 discovered at 27889.000000 that M40 is in danger (after 4624ms proces-to-process, 1609ms node-to-node, 9hops, 0versions (12 first, 12 discovered)
leader L1 of team T0 discovered at 30195.000000 that M41 is in danger (after 2968ms proces-to-process, 1605ms node-to-node, 9hops, 0versions (12 first, 12 discovered)
leader L1 of team T0 discovered at 30195.000000 that M28 is in danger (after 5380ms proces-to-process, 3079ms node-to-node, 3hops, 1versions (12 first, 13 discovered)
leader L1 of team T0 discovered at 25751.000000 that M29 is in danger (after 1679ms proces-to-process, 769ms node-to-node, 3hops, 0versions (11 first, 11 discovered)
leader L1 of team T0 discovered at 34740.000000 that M24 is in danger (after 4529ms proces-to-process, 1434ms node-to-node, 4hops, 0versions (15 first, 15 discovered)
leader L1 of team T0 discovered at 33220.000000 that M25 is in danger (after 5134ms proces-to-process, 2300ms node-to-node, 5hops, 1versions (14 first, 15 discovered)
leader L1 of team T0 discovered at 34740.000000 that M26 is in danger (after 4421ms proces-to-process, 1886ms node-to-node, 5hops, 1versions (14 first, 15 discovered)
leader L1 of team T0 discovered at 27002.000000 that M27 is in danger (after 4176ms proces-to-process, 1812ms node-to-node, 4hops, 0versions (11 first, 11 discovered)
leader L1 of team T0 discovered at 30722.000000 that M20 is in danger (after 2484ms proces-to-process, 215ms node-to-node, 2hops, 0versions (13 first, 13 discovered)
leader L1 of team T0 discovered at 23759.000000 that M21 is in danger (after 6112ms proces-to-process, 4446ms node-to-node, 6hops, 1versions (8 first, 9 discovered)
leader L1 of team T0 never discovered that M22 is in danger from 19990.
leader L1 of team T0 discovered at 27889.000000 that M23 is in danger (after 1162ms proces-to-process, 693ms node-to-node, 2hops, 0versions (12 first, 12 discovered)
leader L1 of team T0 discovered at 30195.000000 that M44 is in danger (after 5780ms proces-to-process, 4230ms node-to-node, 3hops, 1versions (11 first, 12 discovered)
leader L1 of team T0 never discovered that M45 is in danger from 22388.
leader L1 of team T0 discovered at 27177.000000 that M11 is in danger (after 3764ms proces-to-process, 2272ms node-to-node, 4hops, 0versions (12 first, 12 discovered)
leader L1 of team T0 discovered at 23759.000000 that M10 is in danger (after 4041ms proces-to-process, 2352ms node-to-node, 2hops, 1versions (9 first, 10 discovered)
leader L1 of team T0 discovered at 23759.000000 that M13 is in danger (after 5517ms proces-to-process, 2472ms node-to-node, 4hops, 1versions (9 first, 10 discovered)
leader L1 of team T0 discovered at 28370.000000 that M12 is in danger (after 2033ms proces-to-process, 1199ms node-to-node, 4hops, 0versions (12 first, 12 discovered)
leader L1 of team T0 discovered at 20576.000000 that M15 is in danger (after 1506ms proces-to-process, 40ms node-to-node, 1hops, 0versions (9 first, 9 discovered)
leader L1 of team T0 discovered at 22622.000000 that M14 is in danger (after 2163ms proces-to-process, 1873ms node-to-node, 6hops, 0versions (9 first, 9 discovered)
leader L1 of team T0 discovered at 31772.000000 that M17 is in danger (after 3360ms proces-to-process, 1303ms node-to-node, 5hops, 0versions (13 first, 13 discovered)
